algorithm,train_data_file,mean_recall,std_recall
NB,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.97,0.01
SVM,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.47,0.02
LR,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.74,0.01
RF,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.93,0.0
GB,data/train/data_tfidf_1000_1_ 1_clean_lemmatization.pkl,0.86,0.01
NB,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.98,0.0
SVM,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.46,0.01
LR,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.72,0.01
RF,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.93,0.01
GB,data/train/data_tfidf_5000_1_ 1_clean.pkl,0.85,0.01
NB,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.96,0.01
SVM,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.47,0.04
LR,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.77,0.03
RF,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.93,0.02
GB,data/train/data_tfidf_500_1_ 2_clean_lemmatization.pkl,0.86,0.01
NB,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.98,0.01
SVM,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.47,0.03
LR,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.73,0.01
RF,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.93,0.01
GB,data/train/data_tfidf_2000_1_ 3_clean.pkl,0.86,0.01
NB,data/train/data_tc_5000_1_ 1_clean.pkl,0.97,0.01
SVM,data/train/data_tc_5000_1_ 1_clean.pkl,0.47,0.04
LR,data/train/data_tc_5000_1_ 1_clean.pkl,0.92,0.03
RF,data/train/data_tc_5000_1_ 1_clean.pkl,0.93,0.02
GB,data/train/data_tc_5000_1_ 1_clean.pkl,0.86,0.01
NB,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.98,0.0
SVM,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.47,0.03
LR,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.76,0.03
RF,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.93,0.01
GB,data/train/data_tfidf_1000_1_ 3_clean.pkl,0.86,0.02
NB,data/train/data_tc_1000_1_ 3_clean.pkl,0.98,0.0
SVM,data/train/data_tc_1000_1_ 3_clean.pkl,0.47,0.01
LR,data/train/data_tc_1000_1_ 3_clean.pkl,0.92,0.01
RF,data/train/data_tc_1000_1_ 3_clean.pkl,0.93,0.01
GB,data/train/data_tc_1000_1_ 3_clean.pkl,0.86,0.03
NB,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.98,0.01
SVM,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.47,0.02
LR,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.92,0.01
RF,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.93,0.01
GB,data/train/data_tc_800_1_ 1_clean_lemmatization.pkl,0.87,0.02
NB,data/train/data_tfidf_500_1_ 1_clean.pkl,0.97,0.01
SVM,data/train/data_tfidf_500_1_ 1_clean.pkl,0.46,0.01
LR,data/train/data_tfidf_500_1_ 1_clean.pkl,0.77,0.03
RF,data/train/data_tfidf_500_1_ 1_clean.pkl,0.92,0.02
GB,data/train/data_tfidf_500_1_ 1_clean.pkl,0.86,0.02
NB,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.98,0.0
SVM,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.46,0.02
LR,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.74,0.02
RF,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.93,0.02
GB,data/train/data_tfidf_2000_1_ 2_clean.pkl,0.86,0.02
NB,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.98,0.01
SVM,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.48,0.02
LR,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.93,0.01
RF,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.92,0.01
GB,data/train/data_tc_2000_1_ 3_clean_lemmatization.pkl,0.86,0.01
NB,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.97,0.0
SVM,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.47,0.03
LR,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.91,0.0
RF,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.92,0.01
GB,data/train/data_tc_500_1_ 3_clean_lemmatization.pkl,0.87,0.01
NB,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.99,0.0
SVM,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.47,0.01
LR,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.73,0.03
RF,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.93,0.01
GB,data/train/data_tfidf_5000_1_ 2_clean.pkl,0.85,0.02
NB,data/train/data_tc_2000_1_ 2_clean.pkl,0.98,0.01
SVM,data/train/data_tc_2000_1_ 2_clean.pkl,0.47,0.02
LR,data/train/data_tc_2000_1_ 2_clean.pkl,0.92,0.01
RF,data/train/data_tc_2000_1_ 2_clean.pkl,0.92,0.01
GB,data/train/data_tc_2000_1_ 2_clean.pkl,0.87,0.01
NB,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.98,0.0
SVM,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.47,0.02
LR,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.92,0.02
RF,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.93,0.01
GB,data/train/data_tc_2000_1_ 2_clean_lemmatization.pkl,0.86,0.01
NB,data/train/data_tfidf_500_1_ 2_clean.pkl,0.97,0.01
SVM,data/train/data_tfidf_500_1_ 2_clean.pkl,0.45,0.04
LR,data/train/data_tfidf_500_1_ 2_clean.pkl,0.75,0.02
RF,data/train/data_tfidf_500_1_ 2_clean.pkl,0.93,0.01
GB,data/train/data_tfidf_500_1_ 2_clean.pkl,0.87,0.02
NB,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.98,0.0
SVM,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.47,0.02
LR,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.92,0.02
RF,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.92,0.01
GB,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.87,0.02
NB,data/train/data_tc_2000_1_ 3_clean.pkl,0.99,0.01
SVM,data/train/data_tc_2000_1_ 3_clean.pkl,0.47,0.02
LR,data/train/data_tc_2000_1_ 3_clean.pkl,0.92,0.01
RF,data/train/data_tc_2000_1_ 3_clean.pkl,0.93,0.01
GB,data/train/data_tc_2000_1_ 3_clean.pkl,0.87,0.01
NB,data/train/data_tfidf_800_1_ 1_clean.pkl,0.98,0.01
SVM,data/train/data_tfidf_800_1_ 1_clean.pkl,0.46,0.04
LR,data/train/data_tfidf_800_1_ 1_clean.pkl,0.75,0.02
RF,data/train/data_tfidf_800_1_ 1_clean.pkl,0.93,0.02
GB,data/train/data_tfidf_800_1_ 1_clean.pkl,0.86,0.02
NB,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.98,0.01
SVM,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.47,0.04
LR,data/train/data_tc_800_1_ 2_clean_lemmatization.pkl,0.92,0.02
