algorithm,train_data_file,mean_f1,std_f1
RF,data/train/data_tfidf_500_1_ 1_clean.pkl,0.94,0.01
GB,data/train/data_tfidf_500_1_ 1_clean.pkl,0.9,0.02
NB,data/train/data_tc_5000_1_ 3_clean.pkl,0.95,0.01
SVM,data/train/data_tc_5000_1_ 3_clean.pkl,0.54,0.02
LR,data/train/data_tc_5000_1_ 3_clean.pkl,0.94,0.01
RF,data/train/data_tc_5000_1_ 3_clean.pkl,0.94,0.02
GB,data/train/data_tc_5000_1_ 3_clean.pkl,0.91,0.02
NB,data/train/data_tc_500_1_ 3_clean.pkl,0.93,0.01
SVM,data/train/data_tc_500_1_ 3_clean.pkl,0.54,0.03
LR,data/train/data_tc_500_1_ 3_clean.pkl,0.93,0.02
RF,data/train/data_tc_500_1_ 3_clean.pkl,0.94,0.01
GB,data/train/data_tc_500_1_ 3_clean.pkl,0.91,0.02
NB,data/train/data_tfidf_2000_2_ 3_clean.pkl,0.83,0.02
SVM,data/train/data_tfidf_2000_2_ 3_clean.pkl,0.52,0.04
LR,data/train/data_tfidf_2000_2_ 3_clean.pkl,0.72,0.03
RF,data/train/data_tfidf_2000_2_ 3_clean.pkl,0.79,0.02
GB,data/train/data_tfidf_2000_2_ 3_clean.pkl,0.75,0.02
NB,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.97,0.01
SVM,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.53,0.03
LR,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.75,0.02
RF,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.94,0.01
GB,data/train/data_tfidf_5000_1_ 3_clean.pkl,0.9,0.02
NB,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.93,0.02
SVM,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.54,0.03
LR,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.92,0.01
RF,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.94,0.01
GB,data/train/data_tc_500_1_ 1_clean_lemmatization.pkl,0.91,0.01
NB,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.94,0.01
SVM,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.54,0.01
LR,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.93,0.01
RF,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.94,0.01
GB,data/train/data_tc_1000_1_ 3_clean_lemmatization.pkl,0.9,0.02
NB,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.95,0.01
SVM,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.53,0.05
LR,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.76,0.02
RF,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.94,0.01
GB,data/train/data_tfidf_1000_1_ 2_clean_lemmatization.pkl,0.9,0.02
NB,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.93,0.01
SVM,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.53,0.04
LR,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.77,0.03
RF,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.93,0.01
GB,data/train/data_tfidf_500_1_ 3_clean_lemmatization.pkl,0.9,0.02
NB,data/train/data_tc_800_2_ 3_clean.pkl,0.78,0.02
SVM,data/train/data_tc_800_2_ 3_clean.pkl,0.53,0.03
LR,data/train/data_tc_800_2_ 3_clean.pkl,0.74,0.03
RF,data/train/data_tc_800_2_ 3_clean.pkl,0.78,0.03
GB,data/train/data_tc_800_2_ 3_clean.pkl,0.75,0.02
NB,data/train/data_tc_5000_1_ 2_clean_lemmatization.pkl,0.95,0.01
SVM,data/train/data_tc_5000_1_ 2_clean_lemmatization.pkl,0.54,0.04
LR,data/train/data_tc_5000_1_ 2_clean_lemmatization.pkl,0.94,0.02
RF,data/train/data_tc_5000_1_ 2_clean_lemmatization.pkl,0.94,0.01
GB,data/train/data_tc_5000_1_ 2_clean_lemmatization.pkl,0.9,0.02
